szerzo,cim,jelzet,raktar,kiado,ev,targyszavak,kulso_leiras,megjegyzesek
Szabó Imre (összeáll.),Jézus Krisztus élete és tanítása : a négy evangeliumból,232 J62,,Martineum,1918,Jézus élete,http://nektar.oszk.hu/hu/manifestation/3246399,
"Kasper, Walter","Jézus, a Krisztus",232 K23,,Vigilia,1996,dogmatika; krisztológia; tanulmányok,http://nektar.oszk.hu/hu/manifestation/207514,
Kereszty Rókus OCist,Jézus Krisztus : krisztológiai alapvetés,232 K40,,Szt. István Társ.,1995,fundametális teológia; dogmatika; teológiatörténet; Krisztus misztériuma,http://nektar.oszk.hu/hu/manifestation/163966,
Kereszty Rókus OCist,Krisztus,232 K40,,Detti Ny.,1977,krisztológia; Jézus Krisztus; Teológiai kiskönyvtár sorozat,http://nektar.oszk.hu/hu/manifestation/1393310,
Nyíri Tamás,"Ki ez az ""ember""?",232 N96,,Szt. István Társ.,1976,krisztológia; Jézus Krisztus,http://nektar.oszk.hu/hu/manifestation/1521885,
Pázmány Péter SJ,De iustitia et iure; De Verbo incarnato : a gráci előadások kiegészítése a göttweigi kézíratból,232 P48,,Prugg,1984,kánonjog; egyházjog; skolasztikus teológia; erkölcsteológia; igazságosság; krisztológia,http://nektar.oszk.hu/hu/manifestation/1401113,
"Rahner, Karl SJ",Mit jelent Jézust szeretni?,232 R27,,Herder,1993,dogmatika; krisztológia; szeretet,http://nektar.oszk.hu/hu/manifestation/28261,
Schütz Antal Piar,Krisztus : tíz előadás,232 S40,,Szt. István Társ.,1944,dogmatika; krisztológia; Jézus Krisztus; előadások,http://nektar.oszk.hu/hu/manifestation/2940019,
"Sesboüé, Bernard SJ",Krisztus pedagógiája : az alapvető krisztológia elemei ,232 S52,,Vigilia,1997,rendszeres teológia; dogmatika,http://nektar.oszk.hu/hu/manifestation/261883,
Szabó Ferenc SJ,Jézus Krisztus megközelítése,232 Sz14,,Detti Ny.,1978,dogmatika; krisztológia és hermeneutika,http://nektar.oszk.hu/hu/manifestation/1394584,
Temesi József SJ,"Kiért és miért testesült meg az Ige? : Jézus Krisztusról, saját isteni szempontja szerint",232 T42,,Szt. István Társ.,1989,krisztológia; vallásfilozófia,http://nektar.oszk.hu/hu/manifestation/673469,
Tóth Tihamér,Wierzę w Jezusa Chrystusa [Hiszek Jézus Krisztusban! lengyel nyelven],232 T79,,Machay,1934,hitvallás; krisztológia; szentbeszédek,http://nektar.oszk.hu/hu/manifestation/3404926,
Vermes Géza,Jézus változó arcai,232 V73,,Osiris,2001,"vallástörténet; vallásfilozófia; nemkeresztény vallások; krisztológia; dogmatörténet; Jézus Krisztus; Jézus élete; Pál apostol; Biblia. Újszövetség, evangélium; szinoptikusok; egzegézis; bibliamagyarázat",http://nektar.oszk.hu/hu/manifestation/805674,
Vidrányi Katalin,Krisztológia és antropológia : összegyűjtött tanulmányok,232 V84,,Osiris,1998,teológiatörténet; filozófiatörténet; metafizika; vallásfilozófia; teológiai antropológia; teodicea; neotomizmus; istentan; dogmatika,http://nektar.oszk.hu/hu/manifestation/333087,
Béky Gellért SJ,Szép Szűz Mária,232.931 B45,,Korda,1994,Mária-tisztelet; mariológia; lelki irodalom; hagiográfia,http://nektar.oszk.hu/hu/manifestation/120470,
"Carretto, Carlo","Boldog vagy, mert hittél",232.931 C12,,Opus Mystici Corporis,1987,Szűz Mária; Mária-tisztelet; lelki irodalom; elmélkedések; hagiográfia,http://nektar.oszk.hu/hu/manifestation/810003,
Horváth Sándor OP,Mulier amicta sole : Szűz Mária Krisztus fényében,232.931 H91,,Szt. Domonkos-Rend,1948,Mária-tisztelet; mariológia; Jézus Krisztus; lelki irodalom; hagiográfia,http://nektar.oszk.hu/hu/manifestation/2962651,
,Jézus és az egyház anyja (Mária az egyház tanításában és áhítatában; Sion leánya; Mi az egyház tanítása a Mária-jelenésekről?; Téged dícsér minden nemzedék; Bibliás szentolvasó az élő egyházért),232.931 J62,,Prugg,1987,mariológia; egyháztan; kinyilatkoztatás,http://nektar.oszk.hu/hu/manifestation/810330,
,Kérizinen : Jézus Szentséges Szívének és Szűz Mária Szeplőtelen Szívének üzenetei : 1938-1965,232.931 K41,,Sygnatura,1995,Jézus Szíve-tisztelet; Mária Szíve-tisztelet; Jeanne Louise Ramonet,http://nektar.oszk.hu/hu/manifestation/168543,
Kovács Lajos Bánk OFM,Magyarok Nagyasszonya,232.931 K80,,Mariánus Ferences Rendtartomány,2005,Szűz Mária; mariológia,http://nektar.oszk.hu/hu/manifestation/2570037,
Kovács Zoltán,"Magna Domina Hungarorum : dimensioni storiche, teologiche, ecumeniche e culturali",232.931 K81,,Új Ember - Márton Áron K.,2008,dogmatika; mariológia; Mária-tisztelet; magyar néprajz; kultusz; látomások; csodák,http://nektar.oszk.hu/hu/manifestation/3473469,
"Scheffczyk, Leo - Ziegenaus, Anton",Mária az üdvtörténetben : mariológia,232.931 S26,,Szt. István Társ.,2004,ogmatika; Szűz Mária; Mária-tisztelet; Mária-jelenés,http://nektar.oszk.hu/hu/manifestation/1080274,
Süle András,Te vagy földi éltünk Vezércsillaga : gondolatmorzsák a Szűzanyáról és a rózsafüzérről,232.931 S99,,Szt. István Társ.,1997,Mária-tisztelet; krisztológia; Jézus élete; Szentcsalád; elmélkedés,http://nektar.oszk.hu/hu/manifestation/252948,
"Szűz Mária, a Világ Királynője tisztelői (összeáll.)","Világ győzedelmes királynője, A = Regina mundi victoriosa : Mária Natália Magdolna nővér magánkinyilatkoztatásai",232.931 V87,,Two Hearts,1987,Kovacsics Mária; szerzetesség; Jó Pásztor Nővérek; magánkinyilatkoztatás; morálteológia; erkölcsteológia,http://nektar.oszk.hu/hu/manifestation/818426,
"Vlasic, Tomislav - Barbaric, Slavko",Hagyatkozzatok teljesen énreám! : Tomislav Vlašic atya és Slavko Barbaric atya elmélkedései 1985 januártól júniusig,232.931 V93,,Marana Tha 2000 Alapítvány,1995,medjugorjei jelenések; mariológia; Mária-tisztelet; elmélkedések,http://nektar.oszk.hu/hu/manifestation/125384,
Zadravecz István,"Nagyasszony és hazánk : Zadravecz István előadása a Kékestetőre tervezett Patrona Hungariae szobor javára, a Zeneművészeti Főiskola nagytermében 1935. január 5-én rendezett hangversenyen",232.931 Z13,,Held Ny.,1935,magyar egyháztörténet; Mária-tisztelet,http://nektar.oszk.hu/hu/manifestation/2956676,
Bartucz Lajos,Mikép fedezte fel az ember önmagát ? : kis antropologia,233 B40,,Magyar Szemle Társ.,1929,embertan,http://nektar.oszk.hu/hu/manifestation/3320593,
Borbély Kamill,"Keresztény életalakítás elmélete, A",233 B78,,Pannonhalmi Főapátság,2009,keresztény hit; lelki élet; vallásos nevelés; életvezetés; filozófiai antropológia; tanulmányok,http://nektar.oszk.hu/hu/manifestation/2868585,
Gál Ferenc,"Teremtett és megváltott ember, A",233 G17,,Szt. István Társ.,1970,"vallásfilozófia; teológiai antropológia; dogmatika; teremtés; kinyilatkoztatás; test és lélek; monogenizmus; férfi és nő; bűn; áteredő bűn; megváltás; megtérés; irgalom; kegyelem; szabad akarat, üdvtörténet",http://nektar.oszk.hu/hu/manifestation/1260566,
Nyíri Tamás,Antropológiai vázlatok,233 N96,,Szt. István Társ.,1972,filozófiai antropológia,http://nektar.oszk.hu/hu/manifestation/1265356,
Nyíri Tamás,"Ember a világban, Az",233 N96,,Szt. István Társ.,1981,kultúrfilozófia; filozófiai antropológia; skolasztika,http://nektar.oszk.hu/hu/manifestation/673013,
Szabó Ferenc SJ,"Ember és világa, Az",233 Sz14,,Detti Ny.,1974,fundamentális teológia; antropológia; kozmológia; vallásfilozófia; istenhit és ateizmus; közösség és személy,http://nektar.oszk.hu/hu/manifestation/1390686,
Trikál József,"Új ember, Az : nova creatura",233 T91,,Egyetemi Ny.,1932,vallásfilozófia; antropológia,http://nektar.oszk.hu/hu/manifestation/1565936,
Békés Gellért OSB,"Krisztusi örömhír, evangéliumi boldogság : Bibliai témák, teológiai megfontolás",234 B45,,Szt. István Társ.,1983,biblikum; evangélium; elmélkedés; rendszeres teológia; hit és ész,http://nektar.oszk.hu/hu/manifestation/673087,
Blazovich Jákó OSB,Krisztus embere,234 B69,,Korda,1942,filozófia; kereszténység; hit; vallás és kultúra; vallás és tudomány; természettudomány; Friedrich Nietzsche; Blaise Pascal; lelki irodalom,http://nektar.oszk.hu/hu/manifestation/2745021,
"Frossard, André",Van egy másik világ,234 F94,,Szt. István Társ.,1994,vallásosság; megtérés; konvertita; elmélkedések; önéletrajz,http://nektar.oszk.hu/hu/manifestation/106614,
"Frossard, André","Van Isten, találkoztam vele",234 F94,,Szt. István Társ.,1991,megtérés; hitélet,http://nektar.oszk.hu/hu/manifestation/673574,
Gál Ferenc,"Hit ébresztése, a",234 G17,,Szt. István Társ.,1966,fundamentális teológia; dogmatika; keresztény hit; erkölcs; kinyilatkoztatás; lelkiismeret; szabad akarat; Krisztus követése; szeretet; világnézet,http://nektar.oszk.hu/hu/manifestation/1051944,
Gál Ferenc,Úton a teljesség felé,234 G17,,Szt. István Társ.,1977,dogmatika; hit; öröm; Húsvét; elmélkedés,http://nektar.oszk.hu/hu/manifestation/672949,
György Attila,"Keresztény hitről röviden, A : lelkipásztori levelek",234 G90,,szerző,198?,hitoktatás; kateketika; Prohászka Ottokár; Sík Sándor,http://nektar.oszk.hu/hu/manifestation/3483761,
"Kasper, Walter",Ami minden értelmet meghalad : gondolatok a keresztény hitről,234 K23,,Herder,1993,fundamentális teológia; kereszténység; hit és ész,http://nektar.oszk.hu/hu/manifestation/28229,
"Laun, Hellmut",Ahogy rátaláltam,234 L34,,Opus Mystici Corporis,1985,istekeresés; igazság; megtérés; kegyelem,http://nektar.oszk.hu/hu/manifestation/1401982,
"Mühlen, Heribert","Újuljatok meg lélekben : Ef. 4,23",234 M97,,Prugg,1978,Szentlélek; Egyház; karizmatikus megújulás; üdvösség,http://nektar.oszk.hu/hu/manifestation/1444395,
Nemeshegyi Péter SJ,Jó az Isten : élet Krisztusban,234 N48,,Távlatok,1994,dogmatika; kegyelem; krisztológia,http://nektar.oszk.hu/hu/manifestation/825868,
"Poupard, Paul","Katolikus hit, A",234 P88,,Szt. István Társ.,2001,dogmatika; alapvető hittan; hitvallás; katekizmus,http://nektar.oszk.hu/hu/manifestation/2624162,
"Scheeben, Matthias Joseph","Isteni malaszt fensége, Az",234 S26,,Stephaneum Ny.,1905,dogmatika; kegyelem; MEI; Munkálatok,http://nektar.oszk.hu/hu/manifestation/3140430,
Szabó Ferenc SJ,Párbeszéd a hitről : tanulmányok és megemlékezések,234 Sz14,,szerző,1975,vallásfilozófia; Prohászka Ottokár; apologetika; fundamentális teológia; eszkatológia; antropológia; krisztológia; istenhit és ateizmus; Weörös Sándor; Kodolányi János; Pilinszky János; Rónay György; Pierre Teilhard de Chardin; Ingmar Bergman; Babits Mihály; Németh László; Marcel Proust; Bertrand Russell; Francois Mauriac; Federico Fellini; Samuel Beckett; Ady Endre; Gyergyai Albert; tanulmányok,http://nektar.oszk.hu/hu/manifestation/1390206,
Szabó Ferenc SJ,"Rejtett Isten útjain, A : párbeszéd a hitről",234 Sz14,,Detti Ny.,1980,Jézus Krisztus; istenkeresés; keresztény humanizmus; istenhit és ateizmus; Maurice Blondel; Prohászka Ottokár; Dienes Valéria; Gabriel Marcel; Jean-Paul Sartre; Julien Green,http://nektar.oszk.hu/hu/manifestation/1396548,
Tóth Tihamér,Wierzę w Boga [Hiszek Istenben lengyel nyelven],231 T79,,Machay,1933,hitvallás; szentbeszédek,http://nektar.oszk.hu/hu/manifestation/3404917,
"Schmid, Margarete - Kirschläger, Walter (﻿szerk.﻿)",Visszatérőben : az öregkor értelme és lehetőségei,234 V91,,Opus Mystici Corporis,1986,valláserkölcs; vallásszociológia; szeretetszolgálat; öregedés,http://nektar.oszk.hu/hu/manifestation/1401980,
"Wojtyla, Karol (II. János Pál pápa)","Hit Keresztes Szent János szerint, A",234 W84,,Szt. István Társ.,1991,Juan de la Cruz; egyháztanító; hagiográfia; szentek élete,http://nektar.oszk.hu/hu/manifestation/673623,
Boda László,"Sátán, A : a nagy Kísértő a teológia, az élet és az irodalom szembesítésében",235 B70,,Szt. István Társ.,2006,dogmatika; démonológia; irodalomtörténet; ördög; gonosz szellem,http://nektar.oszk.hu/hu/manifestation/2643373,
"Daniélou, Jean SJ","Angyalok és küldetésük az egyházatyák szerint, Az",235 D20,,Jel,1997,dogmatika; angelológia; patrisztika,http://nektar.oszk.hu/hu/manifestation/237579,
Horváth Sándor OP,"Angyalok, démonok",235 H91,,Szt. István Társ.,2015,vallásfilozófia; démonológia; biblikum,http://nektar.oszk.hu/hu/manifestation/3606502,
"Kreeft, Peter",Angyalok és démonok : mit tudhatunk róluk?,235 K94,,Szt. István Társ.,2010,dogmatika; teremtés; angelológia; démonológia,http://nektar.oszk.hu/hu/manifestation/2934604,
"Scanlan, Michael OFS",Szabadítás a gonosz lelkektől : szabadító szolgálat az egyházban,235 S24,,Marana Tha 2000 Alapítvány,1992,démonológia,http://nektar.oszk.hu/hu/manifestation/36658,
"Martindale, Cyril Charlie",Gonzága Alajos,"235.3 Alajos, Gonzaga Szt",,Szív,1935,hagiográfia; szentek élete; jezsuita rend; életrajz,http://nektar.oszk.hu/hu/manifestation/3044713,
"Facco, Giannina",Padovai Szent Antal,"235.3 Antal, Padovai Szt",,Kršćanska sadašnjost - Agape,1987,hagiográfia; szentek élete; ferences rend; Itália; életrajz,http://nektar.oszk.hu/hu/manifestation/810244,
Balássy László,"Apor Vilmos, a vértanú püspök","235.3 Apor V., B.",,Ecclesia,1989,hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/674057,
Hölvényi György,"Igaz tanú, Az : Apor Vilmos vértanú püspök élete","235.3 Apor V., B.",,Budai Ciszterci Szt. Imre Plébánia,1998,hagiográfia; életrajz; szentek élete; papi sorsok; vértanúság,http://nektar.oszk.hu/hu/manifestation/317378,
Szolnoky Erzsébet,Fellebbezés helyett : Apor Vilmos püspök élete és vértanúsága,"235.3 Apor V., B.",,Szt. Gellért,1990,hagiográfia; életrajz; szentek élete,http://nektar.oszk.hu/hu/manifestation/546480,
Puskely Mária SSND,"Dr. Batthyány László, 1870-1931 : dokumentált életrajz","235.3 Batthyány L., B.",,Szt. István Társ.,2001,hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/915404,
Puskely Mária SSND (összeáll.),"Dr. Batthyány-Strattmann László élete képekben, dokumentumokban, történelmi mozaikkal","235.3A Batthyány-Strattmann L., B.",,Szt. István Társ.,1991,hagiográfia; szentek élete; magyar szentek; családtörténet; életrajz; orvos; szemészet,http://nektar.oszk.hu/hu/manifestation/673609,
"Laurentin, René",Bernadette élete,"235.3 Bernadette, Soubirous Szt",,Szt. István Társ.,1981,hagiográfia; életrajz; szentek élete; Lourdes,http://nektar.oszk.hu/hu/manifestation/673056,
"Eberhard, Friedrich OCist","Szent Bernát clairvauxi apát, a tizenkettedik század vezérszelleme","235.3 Bernát, Clairvaux-i Szt",,Debreczeni Ny.,1942,Clairvaux-i Szt Bernát; hagiográfia; szentek élete; életrajz; ciszterci rend,http://nektar.oszk.hu/hu/manifestation/2751000,
Naszályi Emil OCist,Csúcsok és szakadékok,"235.3 Bernát, Clairvaux-i Szt",,Szt. István Társ.,1982,Clairvaux-i Szt Bernát; hagiográfia; szentek élete; misztika; életrajz; ciszterci rend,http://nektar.oszk.hu/hu/manifestation/673080,
Tóth Imre. H.,Konstantin-Cirill és Metód élete és működése,"235.3 Cirill és Metód, Szt",,Magvető,1981,művelődéstörténet; szlávok; írástörténet; glagolita írás; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/654981,
"Bíró Margit (vál., ford.)","Életadó oszlop legendája és más történetek, Az : Georgiai szentek élete és vértanúsága",235.3 Vegyes E39,,Életünk,1990,történelem; kereszténység; grúz irodalom; szentek élete; életrajzok; antológia; források,http://nektar.oszk.hu/hu/manifestation/547902,
"Horváth Tamás, J. - Szabó Irén (szerk.)",Magyarország virága : 13. századi források Árpád-házi Szent Erzsébet életéről,"235.3 Erzsébet, Árpád-házi Szt",,Szt. István Társ.,2001,egyháztörténet; hagiográfia; szentek élete; magyar szentek; életrajz,http://nektar.oszk.hu/hu/manifestation/806050,
"Carretto, Carlo","Én, Ferenc","235.3 Ferenc, Assisi Szt",,Kršćanska sadašnjost - Agapé,1989,"hagiográfia; szentek élete; életrajz; szerzetesség, ferences rend",http://nektar.oszk.hu/hu/manifestation/813768,
"Rotzetter, Anton OFMCap - Dijk, Willibrord-Christian van  - Matura, Thaddée OFM","Assisi Szent Ferenc : a kezdet, és ami abból megmaradt","235.3 Ferenc, Assisi Szt",,Vigilia,1995,hagiográfia; szentek élete; életrajz; szerzetesrendek története; ferences rend,http://nektar.oszk.hu/hu/manifestation/57091,
Tommaso di Celano (Celanói Tamás) OFM,Celanói Tamás életrajzai Szent Ferencről - Szent Ferenc első életrajza; Szent Ferenc második életrajza; Szent Ferenc csodái,"235.3 Ferenc, Assisi Szt",,Agapé,1996,Assisi Szt Ferenc; hagiográfia; szentek élete; életrajzok; szerzetesrendek története; ferences rend,http://nektar.oszk.hu/hu/manifestation/177490,
"Leclerc, Eloi OFM","Szegény ember bölcsessége, Egy","235.3 Ferenc, Assisi, Szt",,Szt. István Társ.,1985,hagiográfia; életrajz; szentek élete; ferences rend,http://nektar.oszk.hu/hu/manifestation/673198,
"Schlink, Basilea",Szent Ferenc világa : üzenet a ma emberének,"235.3 Ferenc, Assisi, Szt",, Pro Planta 3M Bt.,2010,hagiográfia; szentek élete; életrajz; szerzetesség; ferences rend,http://nektar.oszk.hu/hu/manifestation/3474460,
Takács Ince OFM (ford.),Assisi Szent Ferenc iratai ,"235.3 Ferenc, Assisi, Szt",,Ferences Rend,1929,szerzetesség; ferences rend; regula; levelek; imádságok,http://nektar.oszk.hu/hu/manifestation/3168078,
,Assisi Szent Ferenc perugiai legendája,"235.3A Ferenc, Assisi, Szt",,Helikon,1990,hagiográfia; szentek élete; életrajz; szerzetesség; ferences rend;latin irodalom; Olaszország; kódex,http://nektar.oszk.hu/hu/manifestation/788105,
"Voillaume, René",Emberek között : Foucauld Károly testvér lelkisége,"235.3 Foucauld, Ch., B.",,R.K. Plébániahiv. Újvidék,1969,hagiográfia; szentek élete; életrajz; Jézus Kis Testvérei,http://nektar.oszk.hu/hu/manifestation/1391698,
"Bougaud, Émile",Szent Chantal élete és a Visitatio-rend eredete 1-2. köt.,"235.3 Franciska, Chantal Szt",,Stephaneum Ny.,1903-1904,"Johanna Franciska, Chantal Szt; hagiográfia; szentek élete; életrajz; szerzetesség; vizitációs nővérek; rendtörténet",http://nektar.oszk.hu/hu/manifestation/3141501,
"Grün, Anselm OSB",Szentek a szükség idején,235.3 G69,,Jel,2009,hagiográfia; életrajz; szentek élete; legendárium,http://nektar.oszk.hu/hu/manifestation/2838889,
Horánszky Nándor (szerk.),Emlékkönyv Szent Gellért püspök halálának 950. évfordulóján : 1046-1996,"235.3A Gellért, Szt",,Budapesti Szt. Gellért Plébánia,1996,magyar egyháztörténet; hagiográfia; szentek élete; magyar szentek; életrajz; kultusz; tanulmányok,http://nektar.oszk.hu/hu/manifestation/219324,
Székely György,VII. Gergely,"235.3 Gergely, VII. Szt",,Akadémiai,1984,Hildebrand; bencés rend; egyháztörténet; pápaság története; életrajz,http://nektar.oszk.hu/hu/manifestation/573960,
Szántó Konrád OFM,Boldog Gizella első magyar királyné élete,"235.3 Gizella, B.",,Ecclesia,1988,magyar történelem; magyar egyháztörténet; hagiográfia; életrajz; szentek élete,http://nektar.oszk.hu/hu/manifestation/674011,
Szabó Ferenc SJ (összeáll.),Loyolai Szent Ignác írásaiból ,"235.3 Ignác, Loyolai Szt",,Detti Ny.,1990,Ignatius de Loyola; szerzetesrendek; jezsuita rend,http://nektar.oszk.hu/hu/manifestation/819250,
"Camara, Luís Goncalves da",Memoriale : egy kortárs portré Szent Ignácról,"235.3 Ignác, Loyolai Szt ",,Jézus Társasága Mo. Rendtartománya Ignác Lelkiségi Közp.,2012," szentek élete; hagiográfia; életrajz; szerzetesség; jezsuita rendtörténet; memoár; 
történelmi forrás",http://nektar.oszk.hu/hu/manifestation/3432010,
"Dalmases, Cándido de SJ",Loyolai Szent Ignác,"235.3 Ignác, Loyolai Szt ",,Jézus Társasága Mo. Rendtartománya,1995,"Ignatius de Loyola; hagiográfia; életrajz; szentek élete, szerzetesség",http://nektar.oszk.hu/hu/manifestation/148277,
László Ágota - F. Romhányi Beatrix - Csányi Tamás (szerk.),"Szent Imre millennium a Szentimrevárosban : tanulmányok a herceg születésének ezredik évfordulójára, 2007. november 3.","235.3 Imre, Szt",,Budai Ciszterci Szt. Imre Plébánia,2008,magyar szentek; szentek élete; kultusztörténet; keresztény művészet; tanulmányok; konferencia-kiadvány,http://nektar.oszk.hu/hu/manifestation/2785577,
Magyar Zoltán,"Liliomos herceg, A : Szent Imre a magyar kultúrtörténetben","235.3A Imre, Szt",,Európa,2000,művelődéstörténet; kultusztörténet; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/443548,
Bogyay Tamás,Stephanus rex,"235.3 István, I. Szt király",,Ecclesia,1988,hagiográfia; szentek élete; életrajz; Magyarország története,http://nektar.oszk.hu/hu/manifestation/673877,
Serédi Jusztinián OSB (szerk.),Emlékkönyv Szent István király halálának kilencszázadik évfordulóján 1-3. köt.,"235.3A István, I. Szt király",,MTA,1938,magyar történelem; egyháztörténet; államalapítás; hagiográfia; életrajz;szentek élete,http://nektar.oszk.hu/hu/manifestation/1575710,
Tarnóczi János,Szent István életműve és lelkivilága,"235.3 István, I. Szt király",,Ecclesia,1971,magyar történelem; államalapítás; kereszténység; hagiográfia; szentek élete; életrajz; Boldog Gizella; Szt Imre,http://nektar.oszk.hu/hu/manifestation/1261220,
Giesswein Sándor,Szent Jakab Jeruzsálem első püspöke : Egyszersmind válaszul e kérdésre: Voltak-e az Úr Jézusnak testvérei?,"235.3A Jakab, Szt apostol",,Szt. István Társ.,1906,Szt Jakab apostol; őskereszténység; ókeresztény egyház; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/3374648,
"Szulc, Tad",II. János Pál pápa élete,"235.3 János Pál, II.",,M. Kvklub - Fabula,1996,egyháztörténet; pápaság története; hagiográfia; szentek élete; életrajz;Karol Wojtyla,http://nektar.oszk.hu/hu/manifestation/176420,
"Frossard, André",II. János Pál arcképe,"235.3 János Pál, II. Szt",,Szt. István Társ.,1991,Karol Wojtyla; egyháztörténet; pápaság története; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/673633,
Reményi Judit (Reményi J. Nicodem),Mi a titka? : Morzsák egy rendhagyó életútról,"235.3 János Pál, II. Szt",,Antológia,1991,Karol Wojtyla; pápaság története; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/753007,
"Santini, Alceste",II. János Pál apostoli útjai,"235.3 János Pál, II. Szt",,Kossuth,2005,Karol Wojtyla; egyháztörténet; pápaság; misszió; szentbeszédek; képeskönyv,http://nektar.oszk.hu/hu/manifestation/2582844,
Szántó Konrád OFM,Várjuk a Szentatyát : [Portré II. János-Pál pápáról],"235.3 János Pál, II. Szt",,Vigilia,1990,Karol Wojtyla; pápalátogatás; Magyarország; hagiográfia; életrajz;szentek élete,http://nektar.oszk.hu/hu/manifestation/548083,
"Hausherr, Meinhard","Berchmans Szent János Jézus-társasági hitvalló, a keresztény ifjúság példányképe és pártfogója","235.3 János, Berchmans Szt",,Holmeyer Ny.,1888,hagiográfia; szentek élete; jezsuita rend; életrajz,http://nektar.oszk.hu/hu/manifestation/3246159,
"Bosco, Teresio",Don Bosco : Új életrajz,"235.3 János, Bosco Szt",,Szt. József K.,1991,szaléziánus rend; Olaszország; életrajz,http://nektar.oszk.hu/hu/manifestation/751945,
Lukács István SDB,"Fiúk apostola, A","235.3 János, Bosco Szt",,Prugg,1983,"hagiográfia; életrajz, szentek élete; szerzetesség; szaléziánus rend",http://nektar.oszk.hu/hu/manifestation/1427836,
Kulcsár Péter,Kapisztrán János,"235.3 János, Kapisztrán Szt",,Gondolat,1987,Giovanni da Capistrano; magyar történelem; nándorfehérvári csata; hagiográfia; életrajz; szentek élete; Magyar História sorozat,http://nektar.oszk.hu/hu/manifestation/660181,
Bruno a Jésus-Marie,Keresztes Szent János életrajza,"235.3 János, Keresztes Szt",,Kármelita Rendtartomány,1936,Juan de la Cruz; hagiográfia; szentek élete; életrajz; kármelita rend,http://nektar.oszk.hu/hu/manifestation/3118783,
"Rossé, Gérard","Szent plébános, A : Vianney Szent János élete és gondolatai : a szent születésének 200. évfordulójára","235.3 János, Vianney Szt",,Opus Mystici Corporis,1987,hagiográfia; életrajz; szentek élete,http://nektar.oszk.hu/hu/manifestation/814666,
"Trochu, Francis","Ars-i plébános, Az : [Vianney Szent János élete]","235.3 János, Vianney Szt",,Ecclesia,1988,hagiográfia; életrajz; szentek élete; Franciaország; gyóntatás,http://nektar.oszk.hu/hu/manifestation/673900,
"Golub, Ivan",Holdfény a Tiberis fölött : a zsinat pápájának emlékére,"235.3 János, XXIII. B.",,Kršćanska sadašnjost - Agapé,1991,"Giuseppe Roncalli; János, XXIII. Pápa, B.; egyháztörténet; II. Vatikáni zsinat; hagiográfia; életrajz; szentek élete",http://nektar.oszk.hu/hu/manifestation/823483,
"Hünermann, Wilhelm","Világ plébánosa, A : XXIII. János élete","235.3 János, XXIII. B.",,Ecclesia,1987,Giuseppe Roncalli; egyháztörténet; pápaság története; II. Vatikáni Zsinat; hagiográfia; szentek élete; életrajz,http://nektar.oszk.hu/hu/manifestation/673855,
Ijjas Antal,Isten igaz embere : XXIII. János pápa,"235.3 János, XXIII. B.",,Szt. István Társ.,1976,Giuseppe Roncalli; egyháztörténet; pápaság története; hagiográfia; életrajz; szentek élete; II. Vatikáni Zsinat,http://nektar.oszk.hu/hu/manifestation/672938,
Ijjas Antal,Isten igaz embere : XXIII. János pápa,"235.3 János, XXIII. B.",,Szt. István Társ.,1976,egyháztörténet; pápaság története; Giuseppe Roncalli; hagiográfia; szentek élete; életrajz; II. Vatikáni Zsinat,http://nektar.oszk.hu/hu/manifestation/672938,
Víz László,Szent Januáriusz vércsodája,"235.3 Januáriusz, Szt",,Ecclesia,1995,hagiográfia; szentek élete; kultusz,http://nektar.oszk.hu/hu/manifestation/165979,
"Pernoud, Régine",Jeanne d'Arc : ön- és tanúvallomások,"235.3 Johanna, Szt",,Ecclesia,1991,hagiográfia; életrajz; szentek élete; francia történelem; forrástanulmány,http://nektar.oszk.hu/hu/manifestation/7727,
Pálmai Rudolf (összeáll.),"Legyenek mindnyájan egy... Jn 17,21",235.3 kassai vértanúk,,"Premontrei Rendház, Kassa",1995,hagiográfia; szentek élete; életrajz; magyar szentek; magyar egyháztörténet; ellenreformáció; kassai vértanúk; Kőrösi Szt Márk; Grodecz Szt Menyhért; Pongrácz Szt István; jezsuita rend,http://nektar.oszk.hu/hu/manifestation/3226517,
"Laurentin, René","Labouré Katalin élete : a rue du Bac látnoka és a szegények szolgálója, 1806-1876","235.3 Katalin, Labouré Szt",,Ecclesia,1991,hagiográfia; életrajz; szentek élete; Irgalmas Nővérek rendje; csodás érem,http://nektar.oszk.hu/hu/manifestation/9768,
"Lainati, Chiara Augusta",Assisi Szent Klára : Assisi Szt. Ágnes életrajzi adalékaival Assisi Szent Klára levelei,"235.3 Klára, Assisi Szt",,Kršćanska sadašnjost - Agapé,1990,hagiográfia; életrajz; szentek élete; ferences rend; klarisszák,http://nektar.oszk.hu/hu/manifestation/818427,
